vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point,avg_relative_humidity_in_percent,delay_indicator
Coastal Celebration,2017/1/28,13:00:00,7.7,4.25,78.5,0
Queen of Surrey,2017/1/28,14:45:00,7.9,4.55,79.5,0
Queen of Coquitlam,2017/1/28,15:45:00,8.15,4.55,78,0
Coastal Inspiration,2017/1/28,15:15:00,8.15,4.55,78,0
Spirit of British Columbia,2017/1/28,15:00:00,8.15,4.55,78,0
Queen of New Westminster,2017/1/28,15:15:00,8.15,4.55,78,0
Queen of Cowichan,2017/1/28,15:00:00,8.15,4.55,78,0
Queen of Surrey,2017/1/28,16:50:00,8.1,4.7,79,0
Coastal Celebration,2017/1/28,17:00:00,7.75,4.8,82,0
Coastal Inspiration,2017/1/28,17:45:00,7.75,4.8,82,0
Queen of New Westminster,2017/1/28,17:45:00,7.75,4.8,82,0
Queen of Oak Bay,2017/1/28,17:00:00,7.75,4.8,82,0
Queen of Coquitlam,2017/1/28,17:50:00,7.75,4.8,82,0
Queen of Surrey,2017/1/28,18:50:00,7.55,4.4,81,0
Queen of Coquitlam,2017/1/28,19:50:00,7.55,3.7,77,0
Queen of Cowichan,2017/1/28,19:00:00,7.55,3.7,77,0
Spirit of British Columbia,2017/1/28,19:00:00,7.55,3.7,77,0
Queen of Surrey,2017/1/28,20:45:00,7.5,3.45,75.5,0
Queen of imo,2017/1/28,20:45:00,7.5,3.45,75.5,1
Queen of Oak Bay,2017/1/28,21:00:00,7.4,3.3,75,0
Coastal Celebration,2017/1/28,21:00:00,7.4,3.3,75,0
Queen of Cowichan,2017/1/29,6:30:00,6.55,3.5,81,0
Queen of Surrey,2017/1/29,6:20:00,6.55,3.5,81,0
Queen of Coquitlam,2017/1/29,7:20:00,6.95,3.35,78,0
Coastal Reissance,2017/1/29,7:00:00,6.95,3.35,78,0
Queen of Oak Bay,2017/1/29,8:30:00,7.55,2.2,69,0
Queen of Surrey,2017/1/29,8:25:00,7.55,2.2,69,0
Coastal Celebration,2017/1/29,9:00:00,7.6,2.4,69.5,0
Queen of Coquitlam,2017/1/29,9:25:00,7.6,2.4,69.5,0
Coastal Inspiration,2017/1/29,10:15:00,7.3,3.45,76,0
Spirit of British Columbia,2017/1/29,10:00:00,7.3,3.45,76,0
Queen of New Westminster,2017/1/29,10:15:00,7.3,3.45,76,0
Queen of Cowichan,2017/1/29,10:30:00,7.3,3.45,76,0
Queen of Surrey,2017/1/29,10:25:00,7.3,3.45,76,0
Coastal Reissance,2017/1/29,11:00:00,6.8,4.2,83.5,0
Queen of Coquitlam,2017/1/29,11:25:00,6.8,4.2,83.5,0
Queen of imo,2017/1/29,11:10:00,6.8,4.2,83.5,0
Queen of Oak Bay,2017/1/29,12:30:00,6.25,4.75,90,0
Queen of Surrey,2017/1/29,12:35:00,6.25,4.75,90,0
Coastal Inspiration,2017/1/29,12:45:00,6.25,4.75,90,0
Queen of New Westminster,2017/1/29,12:45:00,6.25,4.75,90,0
Coastal Celebration,2017/1/29,13:00:00,6.3,4.95,91.5,0
Queen of Coquitlam,2017/1/29,13:35:00,6.3,4.95,91.5,0
Queen of Surrey,2017/1/29,14:45:00,6.55,5.3,92,0
Spirit of British Columbia,2017/1/29,14:00:00,6.55,5.3,92,0
Coastal Reissance,2017/1/29,15:00:00,6.85,5.4,90.5,0
Queen of New Westminster,2017/1/29,15:15:00,6.85,5.4,90.5,0
Coastal Inspiration,2017/1/29,15:15:00,6.85,5.4,90.5,0
Queen of Cowichan,2017/1/29,15:00:00,6.85,5.4,90.5,0
Queen of Coquitlam,2017/1/29,15:45:00,6.85,5.4,90.5,0
Queen of Surrey,2017/1/29,16:50:00,6.85,5.4,91,0
Coastal Inspiration,2017/1/29,17:45:00,7,5.55,91,1
Queen of Coquitlam,2017/1/29,17:50:00,7,5.55,91,0
Queen of Oak Bay,2017/1/29,17:00:00,7,5.55,91,1
Coastal Celebration,2017/1/29,17:00:00,7,5.55,91,0
Queen of New Westminster,2017/1/29,17:45:00,7,5.55,91,0
Spirit of British Columbia,2017/1/29,18:00:00,7.35,5.8,90,0
Queen of imo,2017/1/29,18:40:00,7.35,5.8,90,0
Queen of Surrey,2017/1/29,18:50:00,7.35,5.8,90,0
Queen of Coquitlam,2017/1/29,19:50:00,7.4,6,91,0
Queen of Cowichan,2017/1/29,19:00:00,7.4,6,91,1
Coastal Reissance,2017/1/29,19:00:00,7.4,6,91,0
Coastal Inspiration,2017/1/29,20:15:00,7.25,6.05,92.5,0
Queen of Surrey,2017/1/29,20:45:00,7.25,6.05,92.5,0
Queen of New Westminster,2017/1/29,20:15:00,7.25,6.05,92.5,0
Queen of Oak Bay,2017/1/29,21:00:00,7.1,6.05,93,1
Coastal Celebration,2017/1/29,21:00:00,7.1,6.05,93,0
Queen of imo,2017/1/29,21:35:00,7.1,6.05,93,0
Queen of New Westminster,2017/1/29,22:45:00,6.9,5.6,91,0
Coastal Inspiration,2017/1/29,22:45:00,6.9,5.6,91,0
Queen of New Westminster,2017/1/30,5:15:00,4.45,3.3,92,0
Coastal Inspiration,2017/1/30,5:15:00,4.45,3.3,92,0
Queen of Surrey,2017/1/30,6:20:00,4.2,3.05,91.5,0
Queen of Cowichan,2017/1/30,6:30:00,4.2,3.05,91.5,0
Coastal Reissance,2017/1/30,7:00:00,4.1,2.8,90.5,0
Coastal Inspiration,2017/1/30,7:45:00,4.1,2.8,90.5,0
Queen of New Westminster,2017/1/30,7:45:00,4.1,2.8,90.5,0
Queen of Coquitlam,2017/1/30,7:20:00,4.1,2.8,90.5,0
Queen of Surrey,2017/1/30,8:25:00,4.2,2.8,90.5,0
Queen of Oak Bay,2017/1/30,8:30:00,4.2,2.8,90.5,0
Coastal Celebration,2017/1/30,9:00:00,4.45,2.75,89,0
Queen of Coquitlam,2017/1/30,9:25:00,4.45,2.75,89,0
Coastal Inspiration,2017/1/30,10:15:00,4.95,2.9,86.5,0
Queen of New Westminster,2017/1/30,10:15:00,4.95,2.9,86.5,0
Queen of Cowichan,2017/1/30,10:30:00,4.95,2.9,86.5,0
Queen of Surrey,2017/1/30,10:25:00,4.95,2.9,86.5,0
Queen of imo,2017/1/30,10:10:00,4.95,2.9,86.5,0
Coastal Reissance,2017/1/30,11:00:00,5.45,3.45,87,0
Queen of Coquitlam,2017/1/30,11:25:00,5.45,3.45,87,0
Coastal Inspiration,2017/1/30,12:45:00,5.7,3.05,83.5,0
Queen of Oak Bay,2017/1/30,12:30:00,5.7,3.05,83.5,0
Queen of New Westminster,2017/1/30,12:45:00,5.7,3.05,83.5,0
Queen of Surrey,2017/1/30,12:35:00,5.7,3.05,83.5,0
Queen of Coquitlam,2017/1/30,13:35:00,5.95,1.95,75.5,0
Coastal Celebration,2017/1/30,13:00:00,5.95,1.95,75.5,0
Queen of Surrey,2017/1/30,14:45:00,5.9,1.7,74.5,0
Queen of New Westminster,2017/1/30,15:15:00,5.6,1.85,77,0
Coastal Reissance,2017/1/30,15:00:00,5.6,1.85,77,0
Coastal Inspiration,2017/1/30,15:15:00,5.6,1.85,77,0
Queen of Cowichan,2017/1/30,15:00:00,5.6,1.85,77,0
Queen of Coquitlam,2017/1/30,15:45:00,5.6,1.85,77,0
Queen of Surrey,2017/1/30,16:50:00,5.45,1.95,78,0
Queen of Oak Bay,2017/1/30,17:00:00,5.15,1.95,79.5,0
Coastal Celebration,2017/1/30,17:00:00,5.15,1.95,79.5,0
Queen of New Westminster,2017/1/30,17:45:00,5.15,1.95,79.5,0
Coastal Inspiration,2017/1/30,17:45:00,5.15,1.95,79.5,0
Queen of Coquitlam,2017/1/30,17:50:00,5.15,1.95,79.5,0
Queen of Surrey,2017/1/30,18:50:00,5,2,80.5,0
Coastal Reissance,2017/1/30,19:00:00,4.85,2,81.5,0
Queen of Coquitlam,2017/1/30,19:50:00,4.85,2,81.5,0
Queen of imo,2017/1/30,19:20:00,4.85,2,81.5,0
Coastal Inspiration,2017/1/30,20:15:00,4.35,1.7,83,0
Queen of New Westminster,2017/1/30,20:15:00,4.35,1.7,83,0
Queen of Surrey,2017/1/30,20:45:00,4.35,1.7,83,0
Coastal Celebration,2017/1/30,21:00:00,3.85,1.1,82.5,0
Queen of Oak Bay,2017/1/30,21:00:00,3.85,1.1,82.5,0
Queen of New Westminster,2017/1/30,22:45:00,2.9,0,81.5,0
Coastal Inspiration,2017/1/30,22:45:00,2.9,0,81.5,0
Queen of New Westminster,2017/1/31,5:15:00,-0.1,-3.1,80.5,0
Coastal Inspiration,2017/1/31,5:15:00,-0.1,-3.1,80.5,0
Queen of Surrey,2017/1/31,6:20:00,-0.25,-3.65,78,0
Queen of Cowichan,2017/1/31,6:30:00,-0.25,-3.65,78,0
Queen of Coquitlam,2017/1/31,7:20:00,-0.65,-3,84.5,0
Coastal Reissance,2017/1/31,7:00:00,-0.65,-3,84.5,0
Queen of New Westminster,2017/1/31,7:45:00,-0.65,-3,84.5,0
Coastal Inspiration,2017/1/31,7:45:00,-0.65,-3,84.5,0
Queen of Surrey,2017/1/31,8:25:00,1.55,-2.75,74.5,0
Queen of Oak Bay,2017/1/31,8:30:00,1.55,-2.75,74.5,0
Queen of Coquitlam,2017/1/31,9:25:00,4.4,-3.35,57,0
Coastal Celebration,2017/1/31,9:00:00,4.4,-3.35,57,0
Queen of imo,2017/1/31,10:10:00,4.4,-4.05,54,0
Queen of New Westminster,2017/1/31,10:15:00,4.4,-4.05,54,0
Coastal Inspiration,2017/1/31,10:15:00,4.4,-4.05,54,0
Queen of Cowichan,2017/1/31,10:30:00,4.4,-4.05,54,0
Queen of Surrey,2017/1/31,10:25:00,4.4,-4.05,54,0
Coastal Reissance,2017/1/31,11:00:00,4.7,-6.1,46,0
Queen of Coquitlam,2017/1/31,11:25:00,4.7,-6.1,46,0
Coastal Inspiration,2017/1/31,12:45:00,5.85,-8,36,0
Queen of Oak Bay,2017/1/31,12:30:00,5.85,-8,36,0
Queen of New Westminster,2017/1/31,12:45:00,5.85,-8,36,0
Queen of Surrey,2017/1/31,12:35:00,5.85,-8,36,0
Queen of Coquitlam,2017/1/31,13:35:00,6.3,-9.4,31.5,0
Coastal Celebration,2017/1/31,13:00:00,6.3,-9.4,31.5,0
Queen of Surrey,2017/1/31,14:45:00,6.4,-10.35,29,0
Queen of Cowichan,2017/1/31,15:00:00,6.3,-10.25,29.5,0
Coastal Inspiration,2017/1/31,15:15:00,6.3,-10.25,29.5,0
Queen of New Westminster,2017/1/31,15:15:00,6.3,-10.25,29.5,0
Coastal Reissance,2017/1/31,15:00:00,6.3,-10.25,29.5,0
Queen of Coquitlam,2017/1/31,15:45:00,6.3,-10.25,29.5,0
Queen of Surrey,2017/1/31,16:50:00,5.95,-10.55,29.5,0
Queen of Oak Bay,2017/1/31,17:00:00,5.15,-10.9,30.5,0
Coastal Inspiration,2017/1/31,17:45:00,5.15,-10.9,30.5,0
Queen of New Westminster,2017/1/31,17:45:00,5.15,-10.9,30.5,0
Queen of Coquitlam,2017/1/31,17:50:00,5.15,-10.9,30.5,0
Coastal Celebration,2017/1/31,17:00:00,5.15,-10.9,30.5,0
Queen of Surrey,2017/1/31,18:50:00,4.1,-10.35,34.5,0
Queen of Coquitlam,2017/1/31,19:50:00,2.15,-8.15,47.5,0
Coastal Reissance,2017/1/31,19:00:00,2.15,-8.15,47.5,0
Queen of imo,2017/1/31,19:20:00,2.15,-8.15,47.5,0
Queen of Surrey,2017/1/31,20:45:00,1.35,-7.9,50.5,0
Coastal Inspiration,2017/1/31,20:15:00,1.35,-7.9,50.5,0
Queen of New Westminster,2017/1/31,20:15:00,1.35,-7.9,50.5,0
Coastal Celebration,2017/1/31,21:00:00,2.05,-8.4,46,0
Queen of Oak Bay,2017/1/31,21:00:00,2.05,-8.4,46,0
Coastal Inspiration,2017/1/31,22:45:00,2.15,-7.65,48.5,0
Queen of New Westminster,2017/1/31,22:45:00,2.15,-7.65,48.5,0
Queen of New Westminster,2017/2/1,5:15:00,0.2,-7.6,56.5,0
Coastal Inspiration,2017/2/1,5:15:00,0.2,-7.6,56.5,0
Queen of Cowichan,2017/2/1,6:30:00,-0.8,-7.4,61,0
Queen of Surrey,2017/2/1,6:20:00,-0.8,-7.4,61,0
Queen of New Westminster,2017/2/1,7:45:00,-1.2,-6.95,65,0
Coastal Inspiration,2017/2/1,7:45:00,-1.2,-6.95,65,0
Queen of Coquitlam,2017/2/1,7:20:00,-1.2,-6.95,65,1
Coastal Reissance,2017/2/1,7:00:00,-1.2,-6.95,65,0
Queen of Oak Bay,2017/2/1,8:30:00,-0.15,-6.65,62,0
Queen of Surrey,2017/2/1,8:25:00,-0.15,-6.65,62,0
Coastal Celebration,2017/2/1,9:00:00,2.25,-7,50.5,0
Queen of Coquitlam,2017/2/1,9:25:00,2.25,-7,50.5,0
Queen of imo,2017/2/1,10:10:00,3.65,-7.2,45,0
Queen of Surrey,2017/2/1,10:25:00,3.65,-7.2,45,0
Queen of Cowichan,2017/2/1,10:30:00,3.65,-7.2,45,0
Queen of New Westminster,2017/2/1,10:15:00,3.65,-7.2,45,0
Coastal Inspiration,2017/2/1,10:15:00,3.65,-7.2,45,0
Queen of Coquitlam,2017/2/1,11:25:00,5,-7.65,39.5,0
Coastal Reissance,2017/2/1,11:00:00,5,-7.65,39.5,0
Queen of Oak Bay,2017/2/1,12:30:00,6.65,-7.4,36,0
Queen of Surrey,2017/2/1,12:35:00,6.65,-7.4,36,0
Coastal Inspiration,2017/2/1,12:45:00,6.65,-7.4,36,0
Queen of New Westminster,2017/2/1,12:45:00,6.65,-7.4,36,0
Queen of Coquitlam,2017/2/1,13:35:00,7.6,-7,34.5,0
Coastal Celebration,2017/2/1,13:00:00,7.6,-7,34.5,0
Queen of Surrey,2017/2/1,14:45:00,7.4,-8.75,30.5,0
Queen of Cowichan,2017/2/1,15:00:00,7,-9.15,30.5,0
Coastal Reissance,2017/2/1,15:00:00,7,-9.15,30.5,0
Queen of New Westminster,2017/2/1,15:15:00,7,-9.15,30.5,0
Coastal Inspiration,2017/2/1,15:15:00,7,-9.15,30.5,0
Queen of Coquitlam,2017/2/1,15:45:00,7,-9.15,30.5,0
Queen of Surrey,2017/2/1,16:50:00,6.65,-9.65,30,0
Coastal Inspiration,2017/2/1,17:45:00,5.95,-9.55,32,0
Queen of Oak Bay,2017/2/1,17:00:00,5.95,-9.55,32,0
Coastal Celebration,2017/2/1,17:00:00,5.95,-9.55,32,0
Queen of New Westminster,2017/2/1,17:45:00,5.95,-9.55,32,0
Queen of Coquitlam,2017/2/1,17:50:00,5.95,-9.55,32,0
Queen of Surrey,2017/2/1,18:50:00,5.05,-7.45,40,0
Queen of Coquitlam,2017/2/1,19:50:00,3.6,-8.25,42,0
Queen of imo,2017/2/1,19:20:00,3.6,-8.25,42,0
Coastal Reissance,2017/2/1,19:00:00,3.6,-8.25,42,0
Queen of Surrey,2017/2/1,20:45:00,2.4,-8.95,43,0
Coastal Inspiration,2017/2/1,20:15:00,2.4,-8.95,43,0
Queen of New Westminster,2017/2/1,20:15:00,2.4,-8.95,43,0
Coastal Celebration,2017/2/1,21:00:00,1.6,-8.3,48,0
Queen of Oak Bay,2017/2/1,21:00:00,1.6,-8.3,48,0
Coastal Inspiration,2017/2/1,22:45:00,0.55,-8.2,52,0
Queen of New Westminster,2017/2/1,22:45:00,0.55,-8.2,52,0
Coastal Inspiration,2017/2/2,5:15:00,-1.85,-7.95,63,0
Queen of New Westminster,2017/2/2,5:15:00,-1.85,-7.95,63,0
Queen of Cowichan,2017/2/2,6:30:00,-1.5,-7.75,62.5,0
Queen of Surrey,2017/2/2,6:20:00,-1.5,-7.75,62.5,0
Coastal Reissance,2017/2/2,7:00:00,-1.3,-7.2,64,0
Coastal Inspiration,2017/2/2,7:45:00,-1.3,-7.2,64,0
Queen of Coquitlam,2017/2/2,7:20:00,-1.3,-7.2,64,0
Queen of New Westminster,2017/2/2,7:45:00,-1.3,-7.2,64,0
Queen of Surrey,2017/2/2,8:25:00,1.3,-6.75,55.5,0
Queen of Oak Bay,2017/2/2,8:30:00,1.3,-6.75,55.5,0
Queen of Coquitlam,2017/2/2,9:25:00,3.8,-6.8,45.5,0
Coastal Celebration,2017/2/2,9:00:00,3.8,-6.8,45.5,0
Queen of imo,2017/2/2,10:10:00,4.05,-8.7,39,0
Queen of New Westminster,2017/2/2,10:15:00,4.05,-8.7,39,0
Queen of Cowichan,2017/2/2,10:30:00,4.05,-8.7,39,0
Queen of Surrey,2017/2/2,10:25:00,4.05,-8.7,39,1
Coastal Inspiration,2017/2/2,10:15:00,4.05,-8.7,39,0
Coastal Reissance,2017/2/2,11:00:00,4.85,-10.2,32.5,0
Queen of Coquitlam,2017/2/2,11:25:00,4.85,-10.2,32.5,0
Queen of Surrey,2017/2/2,12:35:00,5.7,-10.55,30,0
Queen of New Westminster,2017/2/2,12:45:00,5.7,-10.55,30,0
Queen of Oak Bay,2017/2/2,12:30:00,5.7,-10.55,30,0
Coastal Inspiration,2017/2/2,12:45:00,5.7,-10.55,30,0
Queen of Coquitlam,2017/2/2,13:35:00,5.75,-8.8,35,0
Coastal Celebration,2017/2/2,13:00:00,5.75,-8.8,35,0
Queen of Surrey,2017/2/2,14:45:00,5.25,-7.95,38,0
Coastal Reissance,2017/2/2,15:00:00,5.35,-9.4,33.5,1
Queen of New Westminster,2017/2/2,15:15:00,5.35,-9.4,33.5,0
Coastal Inspiration,2017/2/2,15:15:00,5.35,-9.4,33.5,0
Queen of Cowichan,2017/2/2,15:00:00,5.35,-9.4,33.5,0
Queen of Coquitlam,2017/2/2,15:45:00,5.35,-9.4,33.5,0
Queen of Surrey,2017/2/2,16:50:00,4.75,-6.6,45,0
Coastal Inspiration,2017/2/2,17:45:00,3.35,-3.85,59,0
Coastal Celebration,2017/2/2,17:00:00,3.35,-3.85,59,1
Queen of New Westminster,2017/2/2,17:45:00,3.35,-3.85,59,0
Queen of Oak Bay,2017/2/2,17:00:00,3.35,-3.85,59,0
Queen of Coquitlam,2017/2/2,17:50:00,3.35,-3.85,59,0
Queen of Surrey,2017/2/2,18:50:00,2.25,-4.9,59,0
Queen of imo,2017/2/2,19:20:00,1.35,-5.65,59.5,0
Coastal Reissance,2017/2/2,19:00:00,1.35,-5.65,59.5,0
Queen of Coquitlam,2017/2/2,19:50:00,1.35,-5.65,59.5,0
Queen of Surrey,2017/2/2,20:45:00,0.85,-5.4,63,0
Coastal Inspiration,2017/2/2,20:15:00,0.85,-5.4,63,0
Queen of New Westminster,2017/2/2,20:15:00,0.85,-5.4,63,0
Coastal Celebration,2017/2/2,21:00:00,0.95,-5.75,61,0
Queen of Oak Bay,2017/2/2,21:00:00,0.95,-5.75,61,1
Coastal Inspiration,2017/2/2,22:45:00,0.95,-5.3,63,0
Queen of New Westminster,2017/2/2,22:45:00,0.95,-5.3,63,0
Coastal Inspiration,2017/2/3,5:15:00,1.45,-5.35,61,0
Queen of New Westminster,2017/2/3,5:15:00,1.45,-5.35,61,0
Queen of Cowichan,2017/2/3,6:30:00,0.7,-4.4,69.5,1
Queen of Surrey,2017/2/3,6:20:00,0.7,-4.4,69.5,0
Coastal Reissance,2017/2/3,7:00:00,-0.15,-2.15,87,0
Queen of Coquitlam,2017/2/3,7:20:00,-0.15,-2.15,87,0
Queen of New Westminster,2017/2/3,7:45:00,-0.15,-2.15,87,0
Coastal Inspiration,2017/2/3,7:45:00,-0.15,-2.15,87,0
Queen of Oak Bay,2017/2/3,8:30:00,-0.2,-0.7,96.5,0
Queen of Surrey,2017/2/3,8:25:00,-0.2,-0.7,96.5,0
Queen of Coquitlam,2017/2/3,9:25:00,-0.35,-0.75,97,0
Coastal Celebration,2017/2/3,9:00:00,-0.35,-0.75,97,0
Queen of Surrey,2017/2/3,10:25:00,-0.15,-0.55,97,0
Queen of New Westminster,2017/2/3,10:15:00,-0.15,-0.55,97,0
Queen of imo,2017/2/3,10:10:00,-0.15,-0.55,97,0
Coastal Inspiration,2017/2/3,10:15:00,-0.15,-0.55,97,0
Queen of Cowichan,2017/2/3,10:30:00,-0.15,-0.55,97,1
Spirit of British Columbia,2017/2/3,10:00:00,-0.15,-0.55,97,1
Coastal Reissance,2017/2/3,11:00:00,0.25,-0.2,96.5,0
Queen of Coquitlam,2017/2/3,11:25:00,0.25,-0.2,96.5,0
Queen of New Westminster,2017/2/3,12:45:00,0.15,-0.35,96,0
Coastal Inspiration,2017/2/3,12:45:00,0.15,-0.35,96,0
Queen of Surrey,2017/2/3,12:35:00,0.15,-0.35,96,0
Queen of Oak Bay,2017/2/3,12:30:00,0.15,-0.35,96,1
Coastal Celebration,2017/2/3,13:00:00,-0.1,-0.6,96.5,0
Queen of Coquitlam,2017/2/3,13:35:00,-0.1,-0.6,96.5,0
Queen of Surrey,2017/2/3,14:45:00,-0.15,-0.6,97,0
Spirit of British Columbia,2017/2/3,14:00:00,-0.15,-0.6,97,0
Queen of New Westminster,2017/2/3,15:15:00,0,-0.4,97,0
Coastal Inspiration,2017/2/3,15:15:00,0,-0.4,97,0
Queen of Coquitlam,2017/2/3,15:45:00,0,-0.4,97,0
Coastal Reissance,2017/2/3,15:00:00,0,-0.4,97,0
Queen of Cowichan,2017/2/3,15:00:00,0,-0.4,97,0
Queen of Surrey,2017/2/3,16:50:00,0.15,-0.25,97,0
Coastal Celebration,2017/2/3,17:00:00,0.25,-0.15,97.5,0
Queen of Coquitlam,2017/2/3,17:50:00,0.25,-0.15,97.5,0
Queen of New Westminster,2017/2/3,17:45:00,0.25,-0.15,97.5,0
Coastal Inspiration,2017/2/3,17:45:00,0.25,-0.15,97.5,0
Queen of Oak Bay,2017/2/3,17:00:00,0.25,-0.15,97.5,1
Queen of Surrey,2017/2/3,18:50:00,0.3,-0.05,98,0
Spirit of British Columbia,2017/2/3,18:00:00,0.3,-0.05,98,0
Queen of imo,2017/2/3,19:20:00,0.35,0.05,98,0
Coastal Reissance,2017/2/3,19:00:00,0.35,0.05,98,0
Queen of Cowichan,2017/2/3,19:00:00,0.35,0.05,98,0
Queen of Coquitlam,2017/2/3,19:50:00,0.35,0.05,98,0
Queen of Surrey,2017/2/3,20:45:00,0.5,0.2,98,0
Coastal Inspiration,2017/2/3,20:15:00,0.5,0.2,98,1
Queen of New Westminster,2017/2/3,20:15:00,0.5,0.2,98,0
Queen of Oak Bay,2017/2/3,21:00:00,0.7,0.4,98,1
Coastal Celebration,2017/2/3,21:00:00,0.7,0.4,98,0
Queen of New Westminster,2017/2/3,22:45:00,0.95,0.7,98,0
Coastal Inspiration,2017/2/3,22:45:00,0.95,0.7,98,0
Coastal Inspiration,2017/2/4,5:15:00,1.85,1.45,97.5,1
Queen of New Westminster,2017/2/4,5:15:00,1.85,1.45,97.5,0
Queen of Surrey,2017/2/4,6:20:00,1.85,1.3,96.5,0
Queen of Cowichan,2017/2/4,6:30:00,1.85,1.3,96.5,0
Coastal Reissance,2017/2/4,7:00:00,1.7,1.15,96,0
Queen of Coquitlam,2017/2/4,7:20:00,1.7,1.15,96,0
Queen of New Westminster,2017/2/4,7:45:00,1.7,1.15,96,0
Coastal Inspiration,2017/2/4,7:45:00,1.7,1.15,96,0
Queen of imo,2017/2/4,8:35:00,1.6,1.1,96,0
Queen of Surrey,2017/2/4,8:25:00,1.6,1.1,96,0
Queen of Oak Bay,2017/2/4,8:30:00,1.6,1.1,96,0
Coastal Celebration,2017/2/4,9:00:00,1.5,0.9,95.5,0
Queen of Coquitlam,2017/2/4,9:25:00,1.5,0.9,95.5,0
Queen of New Westminster,2017/2/4,10:15:00,1.7,1,95,0
Queen of Cowichan,2017/2/4,10:30:00,1.7,1,95,1
Queen of Surrey,2017/2/4,10:25:00,1.7,1,95,0
Coastal Inspiration,2017/2/4,10:15:00,1.7,1,95,0
Coastal Reissance,2017/2/4,11:00:00,2,0.9,92.5,0
Queen of Coquitlam,2017/2/4,11:25:00,2,0.9,92.5,0
Queen of New Westminster,2017/2/4,12:45:00,2,0.6,90.5,0
Queen of imo,2017/2/4,12:15:00,2,0.6,90.5,0
Coastal Inspiration,2017/2/4,12:45:00,2,0.6,90.5,0
Queen of Surrey,2017/2/4,12:35:00,2,0.6,90.5,0
Coastal Celebration,2017/2/4,13:00:00,1.85,0.65,91.5,0
Queen of Coquitlam,2017/2/4,13:35:00,1.85,0.65,91.5,0
Queen of Surrey,2017/2/4,14:45:00,1.7,0.8,93.5,0
Queen of Coquitlam,2017/2/4,15:45:00,1.65,0.9,94.5,0
Coastal Inspiration,2017/2/4,15:15:00,1.65,0.9,94.5,0
Queen of New Westminster,2017/2/4,15:15:00,1.65,0.9,94.5,0
Coastal Reissance,2017/2/4,15:00:00,1.65,0.9,94.5,0
Queen of Cowichan,2017/2/4,15:00:00,1.65,0.9,94.5,0
Queen of Surrey,2017/2/4,16:50:00,1.35,0.55,94.5,0
Coastal Inspiration,2017/2/4,17:45:00,1,0.35,96,0
Coastal Celebration,2017/2/4,17:00:00,1,0.35,96,0
Queen of New Westminster,2017/2/4,17:45:00,1,0.35,96,0
Queen of Oak Bay,2017/2/4,17:00:00,1,0.35,96,0
Queen of Coquitlam,2017/2/4,17:50:00,1,0.35,96,0
Queen of Surrey,2017/2/4,18:50:00,1.15,0.6,96,0
Queen of Cowichan,2017/2/4,19:00:00,0.9,0.3,95.5,0
Coastal Reissance,2017/2/4,19:00:00,0.9,0.3,95.5,0
Queen of Coquitlam,2017/2/4,19:50:00,0.9,0.3,95.5,0
Queen of imo,2017/2/4,20:45:00,0.45,-0.05,96.5,0
Queen of Oak Bay,2017/2/4,21:00:00,0.85,0.5,97.5,0
Coastal Celebration,2017/2/4,21:00:00,0.85,0.5,97.5,0
Queen of Cowichan,2017/2/5,6:30:00,1.75,0.25,89.5,0
Queen of Surrey,2017/2/5,6:20:00,1.75,0.25,89.5,0
Coastal Reissance,2017/2/5,7:00:00,1.6,0.2,90.5,0
Queen of Coquitlam,2017/2/5,7:20:00,1.6,0.2,90.5,0
Queen of Oak Bay,2017/2/5,8:30:00,1.45,0.15,91.5,0
Queen of Surrey,2017/2/5,8:25:00,1.45,0.15,91.5,0
Coastal Celebration,2017/2/5,9:00:00,1.45,0.1,91,0
Queen of Coquitlam,2017/2/5,9:25:00,1.45,0.1,91,0
Queen of Surrey,2017/2/5,10:25:00,1.6,0.05,89.5,0
Spirit of British Columbia,2017/2/5,10:00:00,1.6,0.05,89.5,0
Queen of Cowichan,2017/2/5,10:30:00,1.6,0.05,89.5,0
Queen of New Westminster,2017/2/5,10:15:00,1.6,0.05,89.5,0
Coastal Inspiration,2017/2/5,10:15:00,1.6,0.05,89.5,0
Queen of Coquitlam,2017/2/5,11:25:00,1.65,-0.05,88.5,0
Queen of imo,2017/2/5,11:10:00,1.65,-0.05,88.5,0
Coastal Reissance,2017/2/5,11:00:00,1.65,-0.05,88.5,1
Queen of Surrey,2017/2/5,12:35:00,2.25,0.5,88.5,0
Coastal Inspiration,2017/2/5,12:45:00,2.25,0.5,88.5,0
Queen of Oak Bay,2017/2/5,12:30:00,2.25,0.5,88.5,0
Queen of New Westminster,2017/2/5,12:45:00,2.25,0.5,88.5,0
Queen of Coquitlam,2017/2/5,13:35:00,2.55,0.75,88,0
Coastal Celebration,2017/2/5,13:00:00,2.55,0.75,88,1
Queen of Surrey,2017/2/5,14:45:00,2.05,0.45,89,0
Spirit of British Columbia,2017/2/5,14:00:00,2.05,0.45,89,0
Coastal Reissance,2017/2/5,15:00:00,1.8,0.75,93,0
Queen of New Westminster,2017/2/5,15:15:00,1.8,0.75,93,0
Coastal Inspiration,2017/2/5,15:15:00,1.8,0.75,93,0
Queen of Cowichan,2017/2/5,15:00:00,1.8,0.75,93,0
Queen of Coquitlam,2017/2/5,15:45:00,1.8,0.75,93,0
